"code";"url";"product_name";"packaging";"brand"
"8076809545884";"https://world-fr.openfoodfacts.org/produit/8076809545884";"Pâtes Orecchiette";"boite,carton";"Barilla,Academia Barilla,ACADEMIA"
"8076802085714";"https://world-fr.openfoodfacts.org/produit/8076802085714";"Pâtes Penne Lisce";"paquete, Karton";"Barilla"
"8076800105735";"https://world-fr.openfoodfacts.org/produit/8076800105735";"Pâtes Penne Rigate";"Boîte,Carton, packung(en), Boîte, boîte, boîte, boîte, karton, boîte";"Barilla"
"8076809545853";"https://world-fr.openfoodfacts.org/produit/8076809545853";"Pâtes Penne Rigate";"Boîte,Carton";"Academia Barilla,Barilla, ACADEMIA"
"8076809529433";"https://world-fr.openfoodfacts.org/produit/8076809529433";"Pâtes Penne Rigate au blé complet";"fr:Boîte,fr:Carton,nl:Groene punt,nl:PAP 21,fr:Emballage carton recyclage carton,boîte,Karton,packung(en), boîte, sachet, boîte, boîte, boîte, boîte";"Barilla"
"8076809570626";"https://world-fr.openfoodfacts.org/produit/8076809570626";"Pâtes Penne Rigate biologiques";"Boîte,Carton,Plastique, paquet, boîte";"Barilla"
"8076809572217";"https://world-fr.openfoodfacts.org/produit/8076809572217";"Pâtes Penne Rigate cuisson 3 min";"Carton";"Barilla"
"8076802085912";"https://world-fr.openfoodfacts.org/produit/8076802085912";"Pâtes Pipe Rigate";"Boîte,Carton";"Barilla"
"8076809525442";"https://world-fr.openfoodfacts.org/produit/8076809525442";"Pâtes Pipe Rigate";"boîte,carton";"Barilla"
"8076802085899";"https://world-fr.openfoodfacts.org/produit/8076802085899";"Pâtes Rigatoni";"Carton";"Barilla"
"76808004021";"https://world-fr.openfoodfacts.org/produit/0076808004021";"Pâtes Rotini Sans Gluten";"Carton";"Barilla"
